ID: 2, Timestamp: 1.336032, Drone Position: (-350.29, 45.00, -107.38), Speed: 6.780161, Camera Position: (-103.26, 1.76, -107.32), Camera Rotation: (354.08, 268.16, 0.83), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 1.350477, Drone Position: (-350.19, 45.00, -107.38), Speed: 6.852386, Camera Position: (-103.26, 1.76, -107.32), Camera Rotation: (353.92, 268.17, 1.12), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 1.364076, Drone Position: (-350.09, 45.00, -107.38), Speed: 6.92038, Camera Position: (-103.26, 1.76, -107.32), Camera Rotation: (353.77, 268.18, 1.34), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 1.378393, Drone Position: (-349.99, 45.00, -107.38), Speed: 6.991966, Camera Position: (-103.26, 1.76, -107.32), Camera Rotation: (353.66, 268.23, 1.44), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 1.392271, Drone Position: (-349.90, 45.00, -107.38), Speed: 7.061354, Camera Position: (-103.26, 1.76, -107.32), Camera Rotation: (353.63, 268.32, 1.45), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 1.40594, Drone Position: (-349.80, 45.00, -107.38), Speed: 7.129701, Camera Position: (-103.26, 1.76, -107.32), Camera Rotation: (353.61, 268.43, 1.37), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 1.420304, Drone Position: (-349.70, 45.00, -107.38), Speed: 7.20152, Camera Position: (-103.26, 1.76, -107.32), Camera Rotation: (353.64, 268.46, 1.40), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 1.434364, Drone Position: (-349.59, 45.00, -107.38), Speed: 7.271822, Camera Position: (-103.26, 1.76, -107.32), Camera Rotation: (353.64, 268.40, 1.56), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 1.448103, Drone Position: (-349.49, 45.00, -107.38), Speed: 7.340514, Camera Position: (-103.26, 1.76, -107.32), Camera Rotation: (353.60, 268.24, 1.82), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 1.462078, Drone Position: (-349.39, 45.00, -107.38), Speed: 7.41039, Camera Position: (-103.26, 1.76, -107.32), Camera Rotation: (353.57, 268.07, 1.98), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 1.476054, Drone Position: (-349.28, 45.00, -107.38), Speed: 7.48027, Camera Position: (-103.26, 1.76, -107.32), Camera Rotation: (353.47, 267.94, 1.90), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 1.490059, Drone Position: (-349.18, 45.00, -107.38), Speed: 7.550297, Camera Position: (-103.26, 1.76, -107.32), Camera Rotation: (353.37, 267.83, 1.71), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 1.504229, Drone Position: (-349.07, 45.00, -107.38), Speed: 7.621146, Camera Position: (-103.26, 1.76, -107.32), Camera Rotation: (353.35, 267.74, 1.54), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 1.5182, Drone Position: (-348.96, 45.00, -107.38), Speed: 7.691, Camera Position: (-103.26, 1.76, -107.32), Camera Rotation: (353.38, 267.62, 1.44), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
