Timestamp: 212.8841, Position: (-350.03,45, -107.38), Speed: 7.271423, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 212.897, Position: (-349.94,45, -107.38), Speed: 7.335675, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 212.911, Position: (-349.84,45, -107.38), Speed: 7.405706, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 212.9253, Position: (-349.73,45, -107.38), Speed: 7.477101, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 212.9391, Position: (-349.63,45, -107.38), Speed: 7.546238, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 212.9534, Position: (-349.52,45, -107.38), Speed: 7.617537, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 212.9671, Position: (-349.42,45, -107.38), Speed: 7.686119, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 212.9808, Position: (-349.31,45, -107.38), Speed: 7.754746, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 212.9988, Position: (-349.17,45, -107.38), Speed: 7.844767, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 213.0091, Position: (-349.09,45, -107.38), Speed: 7.896386, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 213.0227, Position: (-348.98,45, -107.38), Speed: 7.964112, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 213.0364, Position: (-348.87,45, -107.38), Speed: 8.032753, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 213.0505, Position: (-348.76,45, -107.38), Speed: 8.103321, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 213.0644, Position: (-348.65,45, -107.38), Speed: 8.172834, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 213.0786, Position: (-348.53,45, -107.38), Speed: 8.243728, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 213.0925, Position: (-348.42,45, -107.38), Speed: 8.313469, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 213.1065, Position: (-348.30,45, -107.38), Speed: 8.383436, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 213.1205, Position: (-348.18,45, -107.38), Speed: 8.453077, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 213.1346, Position: (-348.06,45, -107.38), Speed: 8.523947, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 213.1486, Position: (-347.95,45, -107.38), Speed: 8.593941, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 213.1624, Position: (-347.83,45, -107.38), Speed: 8.66296, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 213.1764, Position: (-347.71,45, -107.38), Speed: 8.732718, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 213.1907, Position: (-347.58,45, -107.38), Speed: 8.804108, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 213.2079, Position: (-347.43,45, -107.38), Speed: 8.890475, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 213.2186, Position: (-347.33,45, -107.38), Speed: 8.943664, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 213.2312, Position: (-347.22,45, -107.38), Speed: 9.006849, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 213.2456, Position: (-347.09,45, -107.38), Speed: 9.078588, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 213.2595, Position: (-346.97,45, -107.38), Speed: 9.148134, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 213.2736, Position: (-346.84,45, -107.38), Speed: 9.218931, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 213.2878, Position: (-346.71,45, -107.38), Speed: 9.289975, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 213.3017, Position: (-346.58,45, -107.38), Speed: 9.359022, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 213.3153, Position: (-346.45,45, -107.38), Speed: 9.427228, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 213.3293, Position: (-346.32,45, -107.38), Speed: 9.497396, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 213.3437, Position: (-346.18,45, -107.38), Speed: 9.569079, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 213.3579, Position: (-346.04,45, -107.38), Speed: 9.640343, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 213.3716, Position: (-345.91,45, -107.38), Speed: 9.708882, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 213.3856, Position: (-345.78,45, -107.38), Speed: 9.778728, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 213.3996, Position: (-345.64,45, -107.38), Speed: 9.848551, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 213.417, Position: (-345.47,45, -107.38), Speed: 9.935655, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 213.4411, Position: (-345.23,45, -107.38), Speed: 10.05605, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 213.4551, Position: (-345.09,45, -107.38), Speed: 10.12644, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 213.4689, Position: (-344.95,45, -107.38), Speed: 10.19552, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 213.4829, Position: (-344.80,45, -107.38), Speed: 10.26538, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 213.4964, Position: (-344.67,45, -107.38), Speed: 10.33267, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 213.5108, Position: (-344.52,45, -107.38), Speed: 10.40466, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 213.5248, Position: (-344.37,45, -107.38), Speed: 10.4749, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 213.5387, Position: (-344.23,45, -107.38), Speed: 10.54447, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 213.5527, Position: (-344.08,45, -107.38), Speed: 10.61426, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 213.567, Position: (-343.93,45, -107.38), Speed: 10.68584, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 213.5804, Position: (-343.78,45, -107.38), Speed: 10.75257, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 213.5946, Position: (-343.63,45, -107.38), Speed: 10.82376, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 213.6087, Position: (-343.48,45, -107.38), Speed: 10.89416, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 213.626, Position: (-343.29,45, -107.38), Speed: 10.98087, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 213.6367, Position: (-343.17,45, -107.38), Speed: 11.03433, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 213.6499, Position: (-343.03,45, -107.38), Speed: 11.10024, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 213.6635, Position: (-342.88,45, -107.38), Speed: 11.16787, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 213.6777, Position: (-342.72,45, -107.38), Speed: 11.1713, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 213.6921, Position: (-342.56,45, -107.38), Speed: 11.1718, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 213.7063, Position: (-342.40,45, -107.38), Speed: 11.17123, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 213.7199, Position: (-342.25,45, -107.38), Speed: 11.16789, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 213.734, Position: (-342.09,45, -107.38), Speed: 11.17058, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 213.7477, Position: (-341.94,45, -107.38), Speed: 11.16824, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 213.7616, Position: (-341.79,45, -107.38), Speed: 11.16967, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 213.7778, Position: (-341.61,45, -107.38), Speed: 11.18086, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 213.7899, Position: (-341.47,45, -107.38), Speed: 11.16067, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 213.8035, Position: (-341.32,45, -107.38), Speed: 11.1677, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 213.8175, Position: (-341.17,45, -107.38), Speed: 11.17017, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 213.8351, Position: (-340.97,45, -107.38), Speed: 11.18814, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 213.8589, Position: (-340.71,45, -107.38), Speed: 11.16875, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 213.873, Position: (-340.55,45, -107.38), Speed: 11.17047, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 213.8871, Position: (-340.39,45, -107.38), Speed: 11.17094, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 213.9009, Position: (-340.24,45, -107.38), Speed: 11.16887, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 213.9146, Position: (-340.09,45, -107.38), Speed: 11.1685, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 213.9292, Position: (-339.93,45, -107.38), Speed: 11.17306, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 213.9429, Position: (-339.77,45, -107.38), Speed: 11.16834, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 213.957, Position: (-339.62,45, -107.38), Speed: 11.17068, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 213.9711, Position: (-339.46,45, -107.38), Speed: 11.17047, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 213.9849, Position: (-339.31,45, -107.38), Speed: 11.16876, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 213.9987, Position: (-339.15,45, -107.38), Speed: 11.16918, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 214.0128, Position: (-339.00,45, -107.38), Speed: 11.17049, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 214.0268, Position: (-338.84,45, -107.38), Speed: 11.17015, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 214.0444, Position: (-338.65,45, -107.38), Speed: 11.18763, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 214.0548, Position: (-338.53,45, -107.38), Speed: 11.15235, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 214.0684, Position: (-338.38,45, -107.38), Speed: 11.1676, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 214.0817, Position: (-338.23,45, -107.38), Speed: 11.16669, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 214.0957, Position: (-338.08,45, -107.38), Speed: 11.17022, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 214.11, Position: (-337.92,45, -107.38), Speed: 11.17136, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 214.1242, Position: (-337.76,45, -107.38), Speed: 11.17078, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
