Timestamp: 1.116667, Position: (-347.62, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 1.133333, Position: (-347.44, 57.00, -107.38), Speed: 11.09978, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 1.15, Position: (-347.25, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 1.166667, Position: (-347.07, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 1.183333, Position: (-346.88, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 1.2, Position: (-346.70, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 1.216667, Position: (-346.51, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 1.233333, Position: (-346.33, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 1.25, Position: (-346.14, 57.00, -107.38), Speed: 11.09978, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 1.266667, Position: (-345.96, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 1.283333, Position: (-345.77, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 1.3, Position: (-345.59, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 1.316667, Position: (-345.40, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 1.333333, Position: (-345.22, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 1.35, Position: (-345.03, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 1.366667, Position: (-344.85, 57.00, -107.38), Speed: 11.09978, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 1.383333, Position: (-344.66, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 1.4, Position: (-344.48, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 1.416667, Position: (-344.29, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 1.433333, Position: (-344.11, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 1.45, Position: (-343.92, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 1.466667, Position: (-343.74, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 1.483333, Position: (-343.55, 57.00, -107.38), Speed: 11.09978, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
