Timestamp: 2.209238, Position: (-343.18, 45.00, -107.38), Speed: 11.14619, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 2.228053, Position: (-342.98, 45.00, -107.38), Speed: 11.19408, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 2.251492, Position: (-342.71, 45.00, -107.38), Speed: 11.17617, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 2.263767, Position: (-342.58, 45.00, -107.38), Speed: 11.16137, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 2.277788, Position: (-342.42, 45.00, -107.38), Speed: 11.17011, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 2.291927, Position: (-342.27, 45.00, -107.38), Speed: 11.1707, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 2.305804, Position: (-342.11, 45.00, -107.38), Speed: 11.16939, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 2.31976, Position: (-341.96, 45.00, -107.38), Speed: 11.16978, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 2.334013, Position: (-341.80, 45.00, -107.38), Speed: 11.17126, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 2.347947, Position: (-341.64, 45.00, -107.38), Speed: 11.16967, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 2.362034, Position: (-341.49, 45.00, -107.38), Speed: 11.17044, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 2.376174, Position: (-341.33, 45.00, -107.38), Speed: 11.1707, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 2.389956, Position: (-341.18, 45.00, -107.38), Speed: 11.16891, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 2.40354, Position: (-341.03, 45.00, -107.38), Speed: 11.16792, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 2.417949, Position: (-340.87, 45.00, -107.38), Speed: 11.17205, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 2.435541, Position: (-340.67, 45.00, -107.38), Speed: 11.18796, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 2.446024, Position: (-340.56, 45.00, -107.38), Speed: 11.15242, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 2.4592, Position: (-340.41, 45.00, -107.38), Speed: 11.16588, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 2.473172, Position: (-340.25, 45.00, -107.38), Speed: 11.16986, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 2.486919, Position: (-340.10, 45.00, -107.38), Speed: 11.16873, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
